返现咨询	 返现什么时候返给我 
门店信息	当地实体店在哪里
能否降低活动门槛	亲买两件还差1元到299可不可以减4O
凑单咨询	凑单多少有优惠
索要补发信息	 之前就要给我补发现在还没有发
支持花呗	分期付款的条件
未收到但显示已签收	怎么回事,我没收就说签收了
微信支付	这个能微信支付滴不
安装费用	安装结束我要给工人费用吗
直播间福利	直播间怎么抽奖
订单状态未同步	已付款，但是交易仍旧显示等待付款
搭配推荐	你好，给我看看什么商品和这条搭
能否活动价格购买	能先按活动价卖我吗
包装方式	 这种是小包装吗 
催促退款	收到了赶紧帮我退款
退差价咨询	现在拍下双十一返差价么
合并付款	怎么才能多笔尾款合并付款啊
预约送货时间	送货可以周六送吗
重复付款	银行卡被扣了两次钱
未收到但显示已签收	怎么显示签收，我没有签收啊
微信支付	你们家可以微信支付吗
换购	找不到换购活动
指定快递	可以指定发某个快递吗
试用装咨询	这个配试用装么
赠品挑选更换	礼物可以选择吗
商品说明	nb是什么意思
货已拒收	已经联系快递拒收
秒杀	今年没有购物券秒杀吗
发票缺失	为什么没有发票
请求活动链接	福利抽奖链接没有了
包装方式	 这是用瓶装的吗 
优惠券未收到	我拍的优惠券还没到
商品单卖	可以单卖一瓶吗
退件查询	货已经退回并签收了45天了
申请退款后发货	这个订单我申请退款了为什么发货了
何时上货	你好请问黑色大概什么时候能有货啊
物流无更新	怎么都没有流转信息了
退货单缺失	你好退货那个单子我丢了
少件	漏发了**（商品）
商品单卖	我要单瓶的
使用花呗	咱们店铺支持花呗支付吗
定金支付问题	定金怎么支付
增值税发票	能开17%增值税专用发票吗
优惠券退款	退款优惠券退么
订单信息查询	已付款查询不到订单
退换货物流	退货给你们发什么快递
免定金咨询	不是前[n4]名免定金么
漏了	是不是漏了 
安装异常	安装出了问题
颜色区别	颜色的区别
货到付款	 货到付款有其他费用吗 
能否多送	[n3]多送个
直播优惠	直播三件七折
重拍商品	有购物券没用，想重新拍
请求活动链接	活动链接能发我吗
修改订单信息	拍错商品，更换尺码、颜色
售后服务电话	上门维修电话多少
优惠券无法用	优惠券怎么用不了
修改邮费	又拍了一件,改一下运费吧
货已拒收	你们发货我拒收的
指定快递	最好给我顺风，我们这没有ems
不发要退货	你好，怎么还不发货，等不了了，处理下退款
观看直播	还有直播吗
换货条件	这个万一坏了可以换吗
到手价咨询	这双预售到手价是多少
商品尺寸	尺寸包含花边
好评返利	好评有优惠券吗
去拍去付	我去拍了
退款成功	已经显示退款成功了
新旧款区别	升级版什么差别
直播价格	直播秒杀价是多少
希望	希望如此吧
保密发货	我这个睡衣发货时不要写明细哦
商品价格	价格多少
未收到货	我的东西未收到
求加微信	你微信有吗
安装教程	不知道怎么安装
重复付款	网络问题，我付了两次款怎么办
确认收货时间	问下这个什么时间自动确认收货
好评返利	晒图30红包啥意思
订单信息查询	亲我有预付款的单哪里去了
购物券未使用	付款后才发现跨店可以用购物券怎么办
包装方式	 独立小包装吗 
优惠券未收到	新人优惠券在哪里找
领取购物券	天猫购物券怎么领
未收到但显示已签收	为什么我没签收，快递显示已收货
货票同行	 我的发票麻烦帮我一起寄出 
店铺活动	没其他活动了吗
索要重发信息	 你登记丢失重发吧 
试用装咨询	试用装呢
开票类型	电子发票我报不了，请帮我开纸质发票
换购	店里可以换购吗
购买限制	这款是否限购 
货已拒收	我已经向快递员拒收了
保密发货	能不能保密发货
为何还有运费	 超159包邮为什么有运费
领取优惠券	已经关注了，优惠券怎么领取
价格区别	价格差别在哪里呀
优惠券退款	退款重拍的话优惠券会退回来吗
索要图片信息	有没有升级版的图片
运费险理赔	这个理由运费险用不了吗
直播奖品	直播间抽奖中奖了怎么操作呀
开票时间	 要那么久才有发票的 
到手价咨询	这个付定金到手价是多少
活动奖品	有什么奖品
配件套件单买	这个面板破了有配件不
加单咨询	刚刚拍的想加单可以吗
发售咨询	何时开售
商品分类	你这款是胶吗
退货条件	如果有问题可以退吗
高危风险	我反正是活够了
商品说明	隔离霜是什么
优惠影响	我信息填错了，为什么重拍没有优惠了
下单减价	 零点半价是直接拍了就减吗 
普通发票	我们是公司团购，是否提供发票 
免定金咨询	免定金要什么时候返回来呢
功效功能	是不是防水
放弃	你不知道就算了吧
修改价格	把价钱修改下吧
无法申请退款	申请退款申请不了
补偿赔偿	现在又被召回，是否应该有点补偿呢
帮忙	求求你了
开票类型	开的是电子发票还是纸质发票拿
直播奖品	昨天直播间中奖任务提交过了
补差价购买	如果到时候换货的话需要补差价吗
预约送货时间	可以指定日期送货吗
愤怒情绪	能不能不让我和机器说话
定金无法支付	怎么预售定金提交不了
颜色区别	亲标准白和白色有什么区别
发货形式	你们给我发了几个快递
信用卡支付	信用卡支付要手续费吗
合作推广	您需要推广产品吗
难过	太不爽了
能否直播价购买	现在拍还是直播价吗
开票时间	 确认收货了再索要发票吗 
未收到货	花了钱没收到东西
维修需求	可不可以维修
求加微信	咱还是微信聊吧
索要换货信息	我换货的重新发货了吗 
下单备注	我备注错了，怎么修改
请求活动链接	把付定金的活动链接给我下
无法拒收	快递直接放快递箱了，完全没给我拒签的机会额
发错商品	最不喜欢发错东西了
未收到但显示已签收	我拒签了为什么还显示签收
商品分类	赤小豆是红豆吗
物流单号咨询	物流单号是什么
投诉需求	我已经打12315投诉
退换货地址	退货邮寄地址
优惠影响	取消后我就不是这个价格买这些东西了啊
投诉需求	我只能投诉了
不喜欢不合适	 别家比你们便宜10块钱，不想要了
售后维修网点	在济南有地点维修吗
提醒发货检查	发货希望看好再发
优惠叠加	这个尾款可以使用红包或者购物券吗
商品日期	日期新鲜吗
发货形式	我的东西分了两件发的
配件套件单买	这个有没有里边的配件卖
送货形式	 不送货到家吗 
补偿赔偿	补偿多少呢
保密发货	老板,快递单上不要乱写阿
购物券无法用	下单没有购物券选项
优惠券退款	优惠券退了会过期吗
活动奖品	怎样才知道送的奖品
延长收货时间	 怎么延长收货呢 
取消订单	你帮我把我的订单取消吧
安装费用	安装材料费要多少
修改邮费	有包邮的,可以去运费吧
未下单付款	昨天订单没付款
商品材质	材质都是铝的不是塑料的是吧
物流揽件中	怎么一直不揽收
购物券使用	购物券（购物津贴）怎么用
补差价购买	那可以加钱买个么
赠品属性咨询	这个送的是什么，多少毫升
空包	是不是包裹是空的
赠品质量问题	送的故事机开关不能用
去拍去付	我已经加入购物车准备买了
拍错商品	我东西买多了怎么办
无理由退换	这个官网说支持14天无理由退换
邮费差价	超出运费险的退货费用
未收到货	牙刷盒没收到
安装网点	请问全国安装点在哪
退货条件	买贵了能退吗
换货维修运费	维修完寄回来的快递费咋弄
退换货物流	我用顺丰能收到吗
积分兑换	怎么积分兑换
商品挑选更换	能选几种颜色
为何下架	已经下架了
取消退款	亲，我申请了退款又不想退了怎么办呀
显示确认收货	你好，我不小心点错了，给确认收货了
加不了购物车	为什么有的宝贝不能加购物车
信用卡支付	能不能用信用卡分期付款
包装要求	包装希望能高档一些
适用人群	中学生能用吗
新旧款区别	新版有什么区别
预约送货时间	麻烦上午送一下
请求活动通知	有活动能提前通知我吗
退货单缺失	我快递底单弄丢了
付款失败	但淘宝没显示付款成功
预约安装	安装打什么电话
版本款型区别	版型有什么不同啊
付款失败	为什么不能合并付款
投诉需求	直接投诉去
何时上货	多久会有货
加卡片	要代写贺卡
优惠叠加	优惠券和活动可以叠加使用吗
填改退货单号	退货底单怎么上传
分地址发货	昨天我拍那个能分两个地址发吗
领取优惠券	这个有优惠券么
修改退款信息	可以帮我改成退货
索要补发信息	 亲补发货的运单号麻烦发我一下
发错地址	地址发错了,能不能帮我发到正确的地方
定金无法支付	这个样子是不能付定金麻
上门取件	如何办理上门取件服务
换货条件	这个可以调换吗
联系快递	看不到派送员的号码
试用装咨询	没有试用装了么
优惠券无法领	怎么没有券了
高危风险	我找派件员派件员说报警威胁我
下单备注	刚开始忘记备注了
邮寄发票	打扰了，我的发票寄过来了吗
到手价咨询	最终到手价多少钱
补邮费咨询	买两件还要补运费吗
主播推荐	李佳琦今晚直播买的是哪款
取消订单	我的订单不要了，取消吧
退货运费	退货邮费怎么算
空包	空包,里面只有报纸
价格区别	这两款相差一倍的价格，东西具体差别在哪里呢
没有效果	效果不是很好
微信支付	支持微信支付吗
漏了	 倒了大半瓶 
红包无法用	为什么红包用不了
催促换货操作	我点了换货，请同意一下昨天说好了的
预约安装	如何预约安装
邮费议价	邮费有点贵
预售尾款	预售尾款什么时候付
无物流记录	我的包裹的快递信息怎么没有了
定金无法支付	这个不能付定金吗
合并付款	预售和非预售可以合并付款吗
商品尺寸	口径多大
修改发票	 想把发票抬头改成名字 
发货形式	我的货分开邮寄的吗
退款成功	都退款成功了
物流单号咨询	你把昨天物流单号发来
红包退款	未付款取消订单红包会退回吗
能否降低活动门槛	亲有没一元链接可拍啊，398，差一元钱
退换货物流	请问退货支持什么物流
花呗额度	分期额度不够怎么办
退件查询	你们今天收到货没
拍错商品	我有个订单买错了
货已拒收	快递我已经拒收了
索要重发信息	 亲，大衣大概什么时候能发回来
退货时效	请问一定要24小时之内寄回吗
加卡片	hi店主这个可以写贺卡吗
花呗额度	花呗额度怎么查
发送截图	麻烦你看一下我发的图片好嘛
优惠叠加	满88，付款用了红包还能用优惠券吗
颜色推荐	哪一款颜色好看啊
发货数量	拍1发几瓶
合作推广	你这边需要网店运营推广吗
指定快递	指定快递可以吗
店铺活动	这个没有优惠吗
优惠券无法领	你们那个优惠券领不了
少件	还缺一只
交易关闭	付款成功订单关闭了
发错地址	快递发错地方了怎么办
优惠券无法用	重拍用不了优惠券
价格区别	价格不同有什么区别
投诉需求	我要不说你们会被投诉的
催促发货	能不能先安排帮我发货
预约安装	怎么预约安装
购物券未使用	有五块购物券忘记用了
订单状态未同步	我银行卡扣钱了，但是还是待付款
售后服务电话	有售后维修电话么
免定金咨询	这个免定金是收货返吗
直播领券	直播优惠券领不了了吗
发错商品	这个发的不是我买的颜色么
通常到货时间	这些东西大概什么时候能到啊
准备或者已经申请退款	我巳经申请退款退货了
修改价格	亲，改价了我好付款
购物券无法用	为什么天猫购物券不能用
为何还有运费	 怎么还有邮费 
订单状态未同步	我淘宝显示我付款了，但我支付宝没扣钱
包装区别	金装和白金装的区别
要求召回快递	亲，拍错。请召回快递
商品尺寸	有多深
愤怒情绪	太坑了吧
失望情绪	刚安装不上，质量特别差
分地址发货	我买两单可以发两个地址吗
信用卡支付	支持信用卡付款么
为何拒绝退款	我有个订单申请退款了，为什么给我拒绝了呢
付款失败	提示付款的钱不一致，无法付款
破损	 都有划痕什么的啊 
投诉需求	不给我退,我要去投诉你家
购物券退款	未付款购物券退吗
好评返利	已晒单，何时返红包
退货单缺失	快递单子丢了，请问收到了吗
赠品挑选更换	赠品是指定自选的还是随机的
维修需求	如果有问题能来维修吗
购物券未收到	重拍没有退回购物券
赠品缺失	送的没收到
通常到货时间	昨天买的东西今天还能到吗
未支付尾款	尾款昨天忘付了现在再买还行吗
活动时间	活动结束了
请求活动通知	有活动发个通知噢
定金支付问题	这个要付多少定金
加单咨询	请问我可以加单嘛
邮费差价	不是说保险不够你们商家会补
查询或下载发票	我下载发票打不开
宝贝为何原价	怎么不是活动价
无物流记录	为什么查不到快递单号
花呗还款	我直接在花呗上分期还款就行是吗
要求延迟发货	预售款还未发货请帮我延期一下谢谢
直播领券	直播优惠券怎么领不了
直播渠道	亲直播间过来的
催促换货操作	你好，我已经申请换货了，同意一下吧
开票时间	 什么时候有发票 
漏了	 泼了小半瓶 
为何拒收	包裹为何被拒收了
到手价咨询	这些双十一到手价是多少啊
适用人群	18岁可以用吗
修改价格	你改价我拍了哈
免息活动时间	这个双11是免息吗
显示确认收货	你好我不小心点了确认收货怎么办
补邮费咨询	补运费的链接给我一下
是否有货	有没有货
退货时效	可以年后寄回吗
商品挑选更换	那可以选不同味道的吗
秒杀	那个秒杀优惠券在哪秒的
售后服务电话	我想要维修电话
价格区别	怎么颜色不一样价格还不一样
退货注意事项	包装袋要一起退回吗
商品规格	一瓶多少ml
补发需求	 我申请补发 
清洁保养	第一次使用要怎么清洁
适用人群	孕妇可以吃吧
要求拒绝退款	去拒绝下我的退款
退款金额	你看看一共退多少
红包无法用	收货在广东的不能用红包吗
如何下单选购	两个套餐怎么拍 
取消订单	可以取消订单吗
谅解	我理解
购买渠道区别	我一直用的这个，和我商场买的味道完全不一样啊
安装教程	可以自己安装吗
上门取件	为什么退款不支持上门取件
通常到货时间	拍下后一般多久能寄到
定金无法支付	现在不能付定金吗
秒杀	有秒杀活动
开票内容	帮我发票抬头开**内容开**可以吗
描述不符	货收到怎么和图片不一样 
物流揽件中	可是还是显示等待揽收啊
失望情绪	这个总是断网
加卡片	这个可以写贺卡吗
补差价购买	你好，换货补差价
版本款型区别	dl[n3]和这个有啥区别
退款成功	上面写退款成功
退件查询	我退货的那个你们已经签收了
优惠券无法用	预售款的不能用券吗
申请退款后发货	我都申请退款了怎么还发货
颜色区别	粉色和蓝色有什么区别
退货条件	到时候不合适可以退么亲
补邮费咨询	补运费多少钱
坏了	 这个杯子有毛病 
保修咨询	这个保修时间是多长
加不了购物车	加不了购物车咋回事
物流揽件中	物流揽件中
寄件范围	ADDRESS是不是不在配送范围啊
货源产地	你们的产品是国产的吗
无物流记录	怎么没有快递记录
换货维修运费	换货运费怎么收
商品清单	[n3]元大礼包包括什么
包装方式	盒装还是袋装 
物流无更新	物流跟踪记录没更新
分地址发货	这三个可以发不同的地址嘛
联系快递	你们帮我联系物流啊
求加微信	扫完了加一微信
是否有货	有黑色的嘛
无法拒收	我拒收不了
邮寄发票	货收到什么时候给寄发票
购物券使用	可以用购物券付尾款吗
礼品包装	有没有包装袋
尾款支付问题	尾款要怎么付
购买渠道区别	你这和专柜不一样
请求活动通知	亲!有活动别忘告诉我
换货需求	这双买小了想换一双
普通发票	我有标明开发票
商品质量问题	 明明是质量问题 
未收到但显示已签收	你好货物未收到物流就说签收
使用周期	那多久能看到效果
用法用量	什么时间点服用比较好
宝贝为何原价	满减并没有减掉
退款原因	那个退款要写什么说明麽
催促换货操作	我申请自助换货了，麻烦同意一下
未支付尾款	这个尾款没有付
邮费咨询	多少包邮 
购物券使用	能用购物券吗
退货时效	退货有规定时间吗
到付运费	发顺丰是到付吗
请求活动链接	双十一预售专区链接
下单减价	 这直接拍就减70了是吗 
售后服务咨询	质量问题怎么售后
优惠券无法领	为什么领不到优惠券
货源产地	厂家是哪里
赠品属性咨询	买一送一送的是同款吗
发货形式	为什么要分开发货啊
商品质量问题	 怎么质量这么差 
通常到货时间	最晚几号送达呢
赠品发货咨询	这个赠品和天猫超市卡是一起发货还是收货后再发
门店信息	你们有实体店吗
为何下架	为什么我购买的下架了
不要开票	 我这次给自己买的不要发票 
优惠券无法用	这个券怎么用不了
发错商品	这里有10米吗,你不是发错货了吧
少件	少发了一瓶
发售咨询	想问问今晚发售多少台
售后服务电话	维修电话发我下
红包未收到	咋我没有那个18的红包
求回复	给我个解释
订单状态未同步	我付了款为啥还说没付款
能否降低活动门槛	满299减40。就差一块钱能减40吗
影响退换因素	开拆之后还能退货吗
退货单缺失	我不小心把快递单弄丢了
花呗额度	什么叫额度不足
购买限制	 可以拍两双吧 
修改订单信息	现在还没发货能不能换大一码
联系快递	快递员联系不上
包装方式	 是密封的吗 
搭配推荐	搭配的商品有么
红包未用	红包没有用，怎么办
确认收货时间	系统确认收货时间
赠品属性咨询	我是想问你们送的喷瓶多大容量的
要求召回快递	这个快递能不能召回呀
催促退款	什么时候可以退款
重复付款	我下了一个订单扣了三次款
商品挑选更换	颜色是随机的吗
包装区别	套餐一和官方标配的外包装有区别吗
合并付款	已分开拍，到时怎么合并付款呢
如何评价	那我怎么给评价
售后维修网点	能到店里去修吗
优惠叠加	这叫商品能使用积分购物券和红包吗
保修咨询	保修多久
赠品	送什么礼品啊
购物券使用	这个能用购物券吗
返现咨询	 有返现吗 
商品分类	是bb霜还是cc
发错地址	我有个快递发错地方了
用法用量	这个怎么玩的啊
发货地	这上面为什么不显示从哪里发货啊
是否正品	是真品还是高仿的
默认快递	你们托运什么快递公司
红包未收到	送我的红包在哪里
索要图片信息	这个颜色有实拍图么
申请退款后发货	怎么发货了，我申请退款了
优惠券无法领	赠品券领不到
优惠影响	可是价格已经没有优惠了，重新拍单
货已收到	东西收到了
已拍已付	已经付款了
支持花呗	支持分期付款吗
为何还有运费	 包邮的，结算时有快递费 
优惠券无法领	那个优惠券不能领了
填改退货单号	我的退货单号录入错了，怎么办啊
尾款无法支付	一直点支付尾款没反应
会员信息查询	我会员等级是多少
如何下单选购	 可以拍两个码吗 
积分兑换	现在积分兑换在哪里点
优惠券未收到	一元秒的优惠卷在哪里看
物流异常	 是快递异常吗 
求加微信	要怎样加微信
无法申请退款	已经没办法申请退款了
为何还有运费	 怎么有运费了 
直播间福利	直播什么时候抽奖啊
开票内容	可以开公司名称发票吗
优惠券未收到	收藏之后有没有优惠券在哪里看呀
赠品缺失	是不是少了一套赠品啊
邮费咨询	 亲，活动的时候还有运费吗 
请求活动通知	有活动能短信告诉我吗
凑单咨询	请问凑单怎么凑呢
支持花呗	是否支持分期
索要补发信息	 我的遗失件什么时候补发
发货地	从香港直接发货吗
商品日期	保鲜期几天
直播渠道	我在李嘉琪直播间看的
预约送货时间	亲，能下午1点以后送不
售后服务咨询	请问是换货还是维修
商品说明	opo是什么
花呗还款	花呗怎么分期还款
商品尺寸	长宽大概多少
请求活动通知	早有活动为什么不通知呢
少件	这2件少发
是否有货	没有17cm的嘛
返红包	限时返红包怎么弄
搭配推荐	蓝色怎么搭配
放弃	无奈
预售尾款	现在付定金到时候还需交多少钱
领取红包	有红包吗
是否正品	是精仿还是正品
花呗期付	12期免息怎么付
是否免息	请问几期免息
填改退货单号	退货单号填哪里
下单减价	 这个订单是不是直接拍下就减钱了，还是收到货才减 
尾款支付问题	明天尾款从哪里支付
功效功能	可以去痘印吗
发票缺失	昨天买的东西没有发票呢
会员信息查询	我会员等级降了
商品尺寸	这是几寸的
催促发货	已经付款，请尽快发货哦
尾款无法支付	怎么还是支付不了尾款
指定快递	直接发EMS行不行
商品单卖	可以单只卖
退货单缺失	我妈去寄的单号给弄丢了
换购	换购条件
活动时间	具体活动结束时间不知道吗
凑单咨询	凑单是啥意思
领取购物券	购物券领取规则
货已拒收	你们让拒收，我拒收了
发票缺失	怎么没有收到发票
货已收到	你好，我昨天下了个订单，货收到了
分地址发货	这款帮我发两个地址
商品议价	优惠点我就拍了，小孩要参加演出
直播领券	直播优惠券发放吗
价格区别	这款价格有好几个,有什么区别
退货形式	分两个包裹寄回来
延迟下单	已经收藏了，双十二下单
订单状态未同步	我已支付尾款了，为什么还提示我要支付尾款
